room,area_m2,centroid_x_m,centroid_y_m,num_vertices,polygon
7401,27.359017638100624,58.730508330917026,3.087434102135719,36,"60.134,6.264;60.164,6.212;60.187,6.098;60.202,5.953;60.207,5.789;60.221,5.498;60.271,5.345;60.371,5.267;60.543,5.241;60.714,5.267;60.814,5.346;60.865,5.501;60.878,5.798;60.882,5.958;60.896,6.099;60.915,6.212;60.939,6.246;60.968,6.230;60.984,5.483;60.996,4.524;61.000,3.142;61.000,0.000;58.775,0.000;56.551,0.000;56.551,3.051;56.555,4.383;56.567,5.352;56.584,6.107;56.614,6.220;56.704,6.289;56.910,6.321;57.308,6.335;58.369,6.338;59.180,6.334;59.695,6.321;60.052,6.302"
7403,22.490083175627916,54.61634688309551,3.088290647603608,18,"55.809,6.259;55.836,6.204;55.861,6.070;55.881,5.905;55.893,5.726;55.911,5.271;56.201,5.253;56.490,5.234;56.490,2.617;56.490,0.000;54.662,0.000;52.834,0.000;52.834,3.169;52.834,6.338;54.289,6.338;55.018,6.334;55.449,6.321;55.731,6.300"
7404,21.660561721339462,50.971937252165034,3.083644893733571,32,"51.554,6.216;51.600,6.161;51.639,6.098;51.665,6.037;51.672,5.987;51.668,5.928;51.659,5.921;51.646,5.932;51.613,6.002;51.592,6.015;51.575,5.999;51.569,5.906;51.572,5.728;51.585,5.332;51.874,5.314;52.164,5.295;52.164,5.713;52.179,6.044;52.238,6.223;52.351,6.310;52.532,6.327;52.742,6.307;52.758,3.154;52.774,0.000;51.006,0.000;49.238,0.000;49.238,3.169;49.238,6.338;50.335,6.338;51.000,6.334;51.283,6.319;51.444,6.284"
7405,22.105094773087103,47.347353376959724,3.086187913308577,24,"48.078,6.220;48.103,6.150;48.123,6.019;48.137,5.864;48.142,5.702;48.142,5.302;48.446,5.302;48.751,5.302;48.751,5.723;48.759,6.072;48.794,6.232;48.869,6.310;49.001,6.338;49.178,6.338;49.178,3.169;49.178,0.000;47.380,0.000;45.582,0.000;45.582,3.169;45.582,6.338;46.799,6.338;47.548,6.335;47.844,6.320;47.999,6.287"
7406,22.046535467198254,43.68933085825495,3.085102689326984,32,"44.302,6.216;44.349,6.161;44.387,6.098;44.413,6.037;44.420,5.987;44.416,5.928;44.407,5.921;44.394,5.932;44.362,6.002;44.341,6.015;44.324,5.999;44.317,5.906;44.320,5.728;44.333,5.332;44.622,5.314;44.912,5.295;44.912,5.713;44.928,6.044;44.987,6.223;45.099,6.310;45.280,6.327;45.491,6.307;45.507,3.154;45.522,0.000;43.724,0.000;41.926,0.000;41.926,3.169;41.926,6.338;43.053,6.338;43.738,6.335;44.028,6.319;44.192,6.284"
7407,21.99855002729386,40.02998610325955,3.0791102102680825,24,"40.620,6.251;40.659,6.187;40.686,6.079;40.702,5.930;40.707,5.733;40.707,5.302;41.012,5.302;41.316,5.302;41.316,5.751;41.330,6.074;41.384,6.239;41.488,6.316;41.663,6.327;41.834,6.307;41.850,3.154;41.866,0.000;40.068,0.000;38.270,0.000;38.270,3.169;38.270,6.338;39.401,6.338;39.988,6.334;40.322,6.320;40.531,6.296"
7408,21.707343009674105,36.3435554734064,3.0827776908080016,26,"37.149,6.231;37.182,6.162;37.208,6.039;37.225,5.885;37.232,5.710;37.234,5.295;37.523,5.314;37.812,5.332;37.828,5.698;37.849,6.038;37.883,6.214;37.940,6.304;38.027,6.338;38.104,6.269;38.132,5.922;38.145,5.243;38.148,3.169;38.148,0.000;36.380,0.000;34.613,0.000;34.613,3.169;34.613,6.338;35.840,6.338;36.557,6.335;36.879,6.320;37.059,6.290"
7409,22.464245864611243,32.63754386849198,3.0847023400057862,26,"33.199,6.264;33.230,6.210;33.252,6.088;33.268,5.932;33.273,5.747;33.273,5.302;33.577,5.302;33.882,5.302;33.882,5.747;33.895,6.076;33.948,6.234;34.057,6.313;34.260,6.338;34.491,6.338;34.491,3.169;34.491,0.000;32.663,0.000;30.835,0.000;30.835,3.128;30.838,4.330;30.847,5.349;30.859,6.258;30.876,6.297;31.004,6.350;32.037,6.339;33.068,6.321"
7410,22.099402171428892,28.94040718670918,3.0851091574029414,26,"29.767,6.201;29.780,6.125;29.794,5.996;29.806,5.848;29.814,5.698;29.829,5.332;30.119,5.314;30.408,5.295;30.408,5.698;30.421,5.996;30.466,6.189;30.543,6.297;30.654,6.338;30.731,6.270;30.758,5.919;30.772,5.236;30.774,3.169;30.774,0.000;28.976,0.000;27.179,0.000;27.179,3.169;27.179,6.338;28.457,6.338;29.307,6.335;29.579,6.320;29.706,6.281"
7411,22.07682883649558,25.28342722850583,3.082551046990349,26,"26.070,6.264;26.100,6.210;26.122,6.088;26.138,5.932;26.143,5.747;26.143,5.302;26.447,5.302;26.752,5.302;26.752,5.747;26.763,6.044;26.805,6.214;26.885,6.304;27.008,6.338;27.077,6.274;27.102,5.882;27.115,5.157;27.118,3.169;27.118,0.000;25.320,0.000;23.522,0.000;23.522,3.169;23.522,6.338;24.759,6.338;25.341,6.334;25.725,6.321;25.993,6.300"
7412,21.731164876913734,21.666727569001,3.0858555597545085,24,"22.219,6.231;22.252,6.162;22.278,6.039;22.295,5.885;22.302,5.710;22.304,5.295;22.593,5.314;22.882,5.332;22.898,5.698;22.922,6.094;22.964,6.245;23.050,6.315;23.219,6.338;23.461,6.338;23.461,3.169;23.461,0.000;21.694,0.000;19.927,0.000;19.927,3.169;19.927,6.338;21.032,6.338;21.673,6.334;21.967,6.320;22.132,6.290"
7413,22.405608261491853,9.103829321589028,3.077220199670333,32,"9.968,6.251;10.007,6.187;10.033,6.079;10.050,5.930;10.055,5.733;10.055,5.302;10.360,5.302;10.664,5.302;10.666,5.713;10.682,5.982;10.728,6.176;10.802,6.295;10.900,6.338;10.937,6.301;10.953,5.627;10.966,4.695;10.969,3.169;10.969,0.000;9.141,0.000;7.313,0.000;7.313,3.128;7.316,4.330;7.325,5.349;7.337,6.258;7.353,6.297;7.391,6.313;7.747,6.326;8.158,6.335;8.637,6.338;9.287,6.334;9.650,6.320;9.876,6.296"
7414,21.254122182516664,5.480080362870391,3.084737591472315,32,"6.192,6.231;6.225,6.163;6.251,6.040;6.268,5.887;6.275,5.713;6.277,5.302;6.585,5.302;6.894,5.302;6.881,5.726;6.885,6.019;6.927,6.201;7.010,6.300;7.137,6.338;7.210,6.272;7.236,5.900;7.249,5.195;7.252,3.168;7.252,-0.002;5.514,0.014;3.776,0.030;3.776,3.154;3.777,4.353;3.777,5.368;3.777,6.282;3.778,6.307;3.790,6.320;4.121,6.329;4.497,6.335;4.945,6.338;5.623,6.335;5.931,6.320;6.103,6.290"
7415,22.49494823344577,1.7952433831866856,3.088097879968944,24,"2.583,6.241;2.598,6.181;2.609,6.049;2.618,5.892;2.620,5.723;2.620,5.302;2.925,5.302;3.230,5.302;3.230,5.747;3.241,6.054;3.286,6.221;3.374,6.307;3.516,6.338;3.656,6.338;3.656,3.169;3.656,0.000;1.828,0.000;0.000,0.000;0.000,3.169;0.000,6.338;1.273,6.338;1.994,6.335;2.331,6.321;2.520,6.295"
7416,119.56434228339998,8.061023964936059,16.781873063581735,8,"16.057,16.773;16.057,13.040;8.074,13.040;0.091,13.040;0.076,16.788;0.060,20.537;8.059,20.521;16.057,20.506"
7420,42.99863983839238,19.009345624934852,16.782838525900353,14,"21.877,16.819;21.876,15.392;21.873,14.184;21.868,13.097;21.862,13.070;21.841,13.057;21.014,13.044;20.091,13.032;18.998,13.024;16.149,13.010;16.149,16.773;16.149,20.536;19.013,20.536;21.877,20.536"
7422,43.63132193035662,24.904828262092256,16.773074414996884,8,"27.819,16.772;27.819,13.038;24.909,13.024;21.999,13.010;21.999,16.774;21.999,20.538;24.909,20.522;27.819,20.506"
7423,64.43056550132403,32.19597508068054,16.78286707199965,8,"36.488,16.788;36.472,13.039;32.191,13.025;27.910,13.010;27.910,16.773;27.910,20.536;32.207,20.536;36.503,20.536"
7424,65.44304029436165,40.92343891258063,16.781385984586215,8,"45.277,16.773;45.277,13.010;40.920,13.026;36.563,13.042;36.563,16.789;36.563,20.536;40.920,20.536;45.277,20.536"
7425,99.74497912553824,52.01568244944855,16.788179393631495,14,"58.669,16.788;58.653,13.040;52.011,13.040;45.369,13.040;45.353,16.712;45.349,18.125;45.350,19.328;45.355,20.397;45.366,20.460;45.430,20.504;46.740,20.521;48.613,20.533;52.040,20.536;58.685,20.536"
7429,30.146393272530872,60.75587991199963,16.788610747999872,8,"62.767,16.789;62.767,13.041;60.756,13.041;58.745,13.041;58.745,16.789;58.745,20.536;60.756,20.536;62.767,20.536"
7430,69.99221513685933,67.4967703180695,16.78644469640466,8,"72.166,16.789;72.182,13.041;67.505,13.041;62.828,13.041;62.828,16.789;62.828,20.536;67.489,20.536;72.150,20.536"
